label,title,description,description_rephrased_openai,description_rephrased_anthropic,description_rephrased_meta,description_rephrased_google
3,South Korea lowers interest rates,South Korea's central bank cuts interest rates by a quarter percentage point to 3.5 in a bid to drive growth in the economy.,,,South Korea's central bank cuts interest rates to 3.5% to boost economic growth.,South Korea's central bank cut interest rates to 3.5% to stimulate economic growth.
3,Google auction begins on Friday,"An auction of shares in Google, the web search engine which could be floated for as much as \$36bn, takes place on Friday.",,,Google's share auction could raise up to $36 billion on Friday.,"Google's IPO auction, potentially valuing the company at $36 billion, occurs this Friday."
3,HP shares tumble on profit news,"Hewlett-Packard shares fall after disappointing third-quarter profits, while the firm warns the final quarter will also fall short of expectations.",,,Hewlett-Packard shares drop after disappointing profits and warnings of further decline.,HP shares dropped following weak Q3 profits and a lowered Q4 outlook.
3,Mauritian textile firm cuts jobs,One of the oldest textile operators on the Indian Ocean island of Mauritius last week shut seven factories and cut 900 jobs.,,,A Mauritian textile firm shuts 7 factories and lays off 900 workers.,A major Mauritian textile operator closed seven factories and laid off 900 workers last week.
3,Chad seeks refugee aid from IMF,"Chad asks the IMF for a loan to pay for looking after more than 100,000 refugees from conflict-torn Darfur in western Sudan.",,,Chad asks the IMF for a loan to cover refugee costs in Darfur.,"Chad requested an IMF loan to fund aid for over 100,000 Darfur refugees."
3,Japan nuclear firm shuts plants,The company running the Japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks.,,,The Japanese nuclear plant's operator will close reactors for safety checks.,The operator of a Japanese nuclear plant hit by a fatal accident will shut reactors for safety inspections.
3,Veteran inventor in market float,"Trevor Baylis, the veteran inventor famous for creating the Freeplay clockwork radio, is planning to float his company on the stock market.",,,Trevor Baylis plans to list his company on the stock market.,Clockwork radio inventor Trevor Baylis plans to take his company public.
3,Saudi Arabia to open up oil taps,"Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.",,,Saudi Arabia is set to increase oil supply by 1.3 million barrels a day.,Saudi Arabia is ready to supply an additional 1.3 million barrels of oil daily to lower prices.
3,Saudi phone sector gets \$1bn lift,A group led by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia.,,,Etisalat plans to spend $1 billion on Saudi expansion.,An Etisalat-led group will spend $1 billion on expansion after securing Saudi mobile licenses.
3,Indians fill rail skills shortage,Network Rail flies in specialist Indian engineers to work on the West Coast Mainline because of a UK skills shortage.,,,Indian engineers are flown in to work on the UK's West Coast Mainline.,Network Rail is hiring Indian engineers for the West Coast Mainline due to a UK talent shortage.
3,Steady as they go,BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters.,,,Scientists at NitroMed Inc. focus on heart disease treatments.,NitroMed scientists are shifting focus from experimental heart drugs to more immediate business matters.
3,"Google IPO: Type in 'confusing,' 'secrecy'",I've submitted my bid to buy shares of Google Inc. in the computer search company's giant auction-style initial public offering. That could turn out to be the good news or the bad news.,,,I've bid for Google shares in the company's IPO.,"The author participated in Google's massive IPO auction, noting the uncertain outcome of the bid."
3,A bargain hunter's paradise,"Massachusetts bargain hunters showed up in droves and shopped hard on yesterday's sales tax holiday, buying everything from treadmills and snow blowers to candles and chandeliers, and crediting the 5-percent tax break with bringing them into the stores.",,,Massachusetts shoppers take advantage of the sales tax holiday.,A sales tax holiday in Massachusetts drew large crowds seeking 5% savings on various goods.
3,Researchers seek to untangle the e-mail thread,"E-mail is a victim of its own success. That's the conclusion of IBM Corp. researchers in Cambridge, who have spent nearly a decade conducting field tests at IBM and other companies about how employees work and use electronic mail. It's clear to them that e-mail has become the Internet's killer application.",,,"E-mail has become a victim of its own success, according to IBM researchers.",IBM researchers concluded that email's massive success has made it an overwhelming 'killer app.'
3,Microsoft Corp. 2.0: a kinder corporate culture,"Even a genius can mess up. Bill Gates was a brilliant technologist when he cofounded Microsoft , but as he guided it to greatness in both size and historical consequence, he blundered. He terrorized underlings with his temper and parceled out praise like Scrooge gave to charity. Only the lash inspired the necessary aggressiveness to beat the competition, he thought.",,,"Even a genius like Bill Gates can make mistakes, says a Microsoft critique.","Despite his genius, Bill Gates' aggressive management style and temper created a difficult culture at Microsoft."
3,Letters,"Target the abusers of legal weapons We can all share the outrage, expressed by columnist Steve Bailey (''Summer Sizzler, quot; Aug. 11), at the killings in the city's poor neighborhoods. But there's no need to share his ignorance. He argues for renewal of the so-called assault weapon ban, claiming that otherwise, ''UZIs and AK-47s could again be flooding the streets. quot; His ...",,,"Target the abusers of legal weapons, not the innocent, argues columnist Steve Bailey.",A response to columnist Steve Bailey argues that renewing the assault weapons ban is based on a misunderstanding of current laws.
3,Somewhere between gleam and gloom,"President Bush has been saying that the US economy has ''turned the corner. quot; Democratic presidential candidate Senator John F. Kerry, in the wake of this month's poor jobs report, quipped that it was more like a U-turn.",,,"President Bush claims the US economy has turned the corner, but Senator Kerry disagrees.","President Bush claims the economy is recovering, while John Kerry argues it has taken a downturn."
3,Technology company sues five ex-employees ,"A Marlborough-based technology company is suing five former employees, including three senior managers, for allegedly conspiring against their employer while working on opening a competing business.",,,A Marlborough-based company sues former employees for alleged sabotage.,A Marlborough tech firm is suing five former employees for allegedly plotting to start a rival business.
3,Grant to aid Lynn Central Square,"Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week.",,,"Central Square in Lynn is set for a $830,000 makeover.","Lynn received $830,000 in state grants for infrastructure and landscaping improvements in Central Square."
3,State grant to aid Lynn; Bank gives Salem \$10k,"Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week.",,,"A lawsuit targets Gary Winnick, the former Global Crossing chief.","Lynn received $830,000 in state grants for infrastructure and landscaping improvements in Central Square."
3,A New Legal Chapter for a 90's Flameout,"A lawsuit against Gary Winnick, the former chief of Global Crossing, refocuses attention on what Mr. Winnick knew about his company's finances as it imploded.",,,"Russia's resurgence as a superpower is driven by oil, not nuclear power.",A lawsuit against former Global Crossing chief Gary Winnick examines his knowledge of the firm's collapse.
3,"Will Russia, the Oil Superpower, Flex Its Muscles?",Russia is again emerging as a superpower - but the reason has less to do with nuclear weapons than with oil.,,,"Dell's new CEO, Kevin Rollins, discusses the company's service recovery.",Russia's renewed superpower status is driven more by its oil reserves than its nuclear arsenal.
3,"Switching Titles, if Not Gears, at Dell","Kevin B. Rollins, the new chief executive of Dell, talks about Dell's transitory slip in customer service, and why he sees a broader technology recovery taking place.",,,A unique solution to the country's financial woes is proposed.,Dell's new CEO Kevin Rollins discusses service improvements and a broader tech industry recovery.
3,For Sale: The Ultimate Status Symbol,"With the country in need of cash and rich people dying to show off their wealth, Mr. Stein proposes a unique solution: having the government sell titles of nobility.",,,Quality Distribution's losses hammer the company's stock.,Ben Stein suggests the government sell titles of nobility to raise revenue from the wealthy.
3,Quality Gets Swept Away,Quality Distribution is hammered after reporting a large loss for the second quarter.,,,,Quality Distribution shares fell sharply following a significant second-quarter loss.
3,Making Your Insurer Pay,"If Hurricane Charley blows your house down, how can you make your insurance company pay?",,,How can you make your insurance company pay after a hurricane?,How to ensure your insurance company pays for hurricane damage.
3,Delightful Dell,The company's results show that it's not grim all over tech world. Just all of it that isn't Dell.,,,"Not all tech companies are struggling, despite Dell's challenges.",Dell is the only tech company currently showing strong financial results.
3,Chrysler's Bling King,"After a tough year, Detroit's troubled carmaker is back -- thanks to a maverick designer and a car that is dazzling the hip-hop crowd",,,A new car design has revitalized a major carmaker.,A bold designer and a popular new car are reviving Chrysler.
3,What's Cool In the Pool ... ... And Hot On the Deck,Americans are spending more on tricking out the places where they swim. Here's a look at the new wave of accessories,,,People are spending more on pool accessories.,New luxury accessories are trending for high-end home swimming pools.
3,The Age of Doom,In 1993 six geeks had a digital nightmare that changed the culture. It's about to get far creepier,,,A 1993 event that started a digital revolution is about to get even stranger.,A 1990s digital project that influenced culture is becoming even more intense.
3,Hip Hop's Online Shop,Celebrity fashion is booming. These webpreneurs are bringing it to main street,,,Celebrity fashion is becoming mainstream.,Entrepreneurs are making celebrity fashion styles accessible to the general public.
3,Stoking the Steamroller,No other recording artist can channel American middle-class tastes quite like Chip Davis and his best-selling band,,,A musician has mastered the sound of American middle-class tastes.,Chip Davis and his band excel at capturing American middle-class musical tastes.
3,Coming to The Rescue,Got a unique problem? Not to worry: you can find a financial planner for every specialized need,,,You can find a financial planner with specialized expertise.,Specialized financial planners are available to solve unique monetary problems.
3,The New Customers Are In Town,"Today's customers are increasingly demanding, in Asia as elsewhere in the world.  Henry Astorga describes the complex reality faced by today's marketers, which includes much higher expectations than we have been used to.  Today's customers want performance, and they want it now! ",,,Today's customers have high expectations for performance and results.,"Marketers in Asia face rising consumer demands for immediate, high-quality performance."
3,"Barrel of Monkeys, 2004 Edition: Notes on Philippine Elections","Well, it's election time in the Republic of the Philippines, and that means the monkeys are rolling around in those political barrels, having as much fun as they can while laughing their heads off at the strange goings-on that characterize a democratic process loosely based on the American model  but that de facto looks more like a Fellini movie crossed with a Tom and Jerry cartoon - column includes a useful election-year glossary!",,,"The Philippines' election is underway, with its unique challenges.","Philippine elections are chaotic, colorful events blending democratic ideals with surreal entertainment."
3,Oldsmobile: The final parking lot,"Why General Motors dropped the Oldsmobile. The four brand  paradoxes GM had to face - the name, the product, image re-positioning, and the consumer - all added up to a brand that had little hope of rebranding.",,,Why did General Motors drop the Oldsmobile brand?,GM discontinued Oldsmobile because brand paradoxes made successful rebranding impossible.
3,"Not All Jobs Belong To The White Man: Asian Minorities, Affirmative Action, And The Quest For Parity At Work","Although a smattering of Chinese, Filipinos, Japanese, Indians, Thais, and others may crow about seeing their kind sitting in prominent positions in corporations and organizations in the USA, these accomplishments become mere cultural high-fives and ritualistic chest-thumping goaded and impishly patronized by 'mainstream society' - the milder and gentler term for the white-dominated populace.",,,Minorities in the US face cultural challenges despite their successes.,The professional success of Asian minorities in the US is often patronized by the white majority.
3,"Downhome Pinoy Blues, Intersecting Life Paths, and Heartbreak Songs","The Blues is alive and well in the Philippines, as evidenced by this appreciation of the Pinoy Blues band 'Lampano Alley', penned by columnist Clarence Henderson as a counterpoint to his usual economics, business, and culture fare.",,,The Philippines has a thriving blues music scene.,Clarence Henderson highlights 'Lampano Alley' to show the blues genre's vitality in the Philippines.
3,The Real Time Modern Manila Blues: Bill Monroe Meets Muddy Waters in the Orient,"Globalization does strange things to people. A day in the life of a Manila Philippines based business consultant - proving that you really CAN talk about Muddy Walters, bluegrass and work all on the same page...",,,Globalization affects people in unusual ways.,A Manila consultant reflects on how globalization blends professional life with diverse cultural interests.
3,Best Asian Tourism Destinations,"The new APMF survey of the best Asian tourism destinations has just kicked off, but it's crowded at the top, with Chiang Mai in Thailand just leading from perennial favourites Hong Kong, Bangkok and Phuket in Thailand, and Bali in  Indonesia. Be one of the first to vote and let us know your reasons.",,,The best Asian tourism destinations have been named.,Chiang Mai currently leads the APMF survey of top Asian tourism destinations.
3,What are the best cities for business in Asia?,"One of our new categories in the APMF Sense of Place survey is for best Asian business city. After a couple of days, Singapore leads the pack, followed by Bangkok, Thailand and Hong Kong. Enter your vote and comments and make your views count. More new categories include best city for livability, and best tourism destinations.",,,The best Asian business cities have been ranked.,Singapore leads the new APMF survey category for the best Asian business city.
3,IT alligator tales,"I grew up in New York, where giant alligators -- sometimes more ornately described as albino alligators -- were rumored to roam the citys sewer systems. According to legend, vacationers picked up the tiny crocodilians in Florida, brought them home to New York, and eventually flushed the little buggers when they grew too big for the local concrete jungle.",,,A competition in New York features giant alligators in its legend.,A popular urban legend claims Florida alligators live in New York City's sewers.
3,IT Myth 5: Most IT projects fail,"Do most IT projects fail? Some point to the number of giant consultancies such as IBM Global Services, Capgemini, and Sapient, who feed off bad experiences encountered by enterprises. Sapient is a company founded on the realization that IT projects are not successful, says Sapient CTO Ben Gaucherin.",,,"Most IT projects fail, according to experts.","Sapient's CTO suggests many IT projects fail, fueling the growth of giant consultancies."
3,BEA grabs CA exec to head product group,BEA Systems Inc. has hired the Computer Associates International Inc. executive responsible for CA's Unicenter line of enterprise management software to head BEA's product development group.,,,A company has hired an executive from a rival firm.,BEA Systems hired a top Computer Associates executive to lead product development.
3,Autodesk tackles project collaboration,"Autodesk  this week unwrapped an updated version of its hosted project collaboration service targeted at the construction and manufacturing industries. Autodesk Buzzsaw lets multiple, dispersed project participants -- including building owners, developers, architects, construction teams, and facility managers -- share and manage data throughout the life of a project, according to Autodesk officials.",,,A software company has updated its collaboration service.,Autodesk updated its Buzzsaw service to improve data sharing for construction project stakeholders.
3,U.K.'s NHS taps Gartner to help plan \$9B IT overhaul,"LONDON -- The U.K.'s National Health Service (NHS) has tapped IT researcher Gartner Inc. to provide market intelligence services as the health organization forges ahead with a mammoth, 5 billion (\$9.2 billion) project to upgrade its information technology infrastructure.",,,The UK's healthcare system is upgrading its IT infrastructure.,The UK's NHS hired Gartner to provide intelligence for a major IT infrastructure upgrade.
3,Play Boys: Google IPO a Go Anyway,"Even though Google's two founders gave an interview to Playboy magazine in the midst of its IPO filing, the SEC allowed the company's offering to go ahead. The boys filed the interview with the SEC and corrected mistakes in it.",,,Google's IPO may be delayed due to a magazine interview.,The SEC allowed Google's IPO to proceed despite an interview published during the quiet period.
3,More Big Boobs in Playboy,An interview with Google's co-founders due out in the current issue of Playboy may delay the company's IPO. Securities regulations restrict what executives can say while preparing to sell stock for the first time.,,,A music retailer has beaten Apple to market with a download service.,A Playboy interview with Google's founders may delay the IPO due to SEC regulations.
3,Dutch Firm Beats Apple to Punch,A music retailer from the Netherlands beats Apple by launching a download service in Europe's latest market battleground. Also: Movie industry wrests agreement from defunct company.... Microsoft challenges Photoshop   hellip;. and more.,,,A company has been acquired by Hewlett-Packard for $297 million.,A Dutch retailer beat Apple to a European music download launch.
3,HP to Buy Synstar,Hewlett-Packard will pay \$297 million for the British company. Also: TiVo goes all out to attract customers   hellip;. Sprint offers service guarantees for business wireless subscribers   hellip;. and more.,,,,HP is acquiring a British firm for $297 million amid other industry developments.
3,A Personal Operator From Verizon,"Verizon plans to offer a service that would act as a virtual switchboard operator, letting customers stay in touch at all times. The program would send phone calls, voicemails and e-mails wherever customers designate. By Elisa Batista.",,,"Verizon plans to offer a service allowing customers to stay in touch at all times by sending calls, voicemails, and emails to designated locations.","Verizon is launching a virtual switchboard service to route calls, voicemails, and emails to any location a customer chooses."
3,Paid Search Growth May Slow,A new Internet advertising forecast shows a slowdown in paid search listings in the next five years. Will the projection affect Google's prospects when it goes public?,,,"A new internet advertising forecast shows a slowdown in paid search listings over the next five years, potentially affecting Google's prospects.","A forecast predicts a slowdown in paid search advertising, raising questions about Google's upcoming IPO."
3,Fark Sells Out. France Surrenders,"Blogs are the hottest thing on the Net, but are they messing with traditional publishing principles? One of the most popular, Fark.com, is allegedly selling links. Is it the wave of the future? By Daniel Terdiman.",,,"Blogs are becoming increasingly popular, but their impact on traditional publishing principles is uncertain, with some popular blogs allegedly selling links.","The popularity of blogs like Fark.com, which allegedly sells links, is challenging traditional publishing ethics."
4,"'Madden,' 'ESPN' Football Score in Different Ways (Reuters)","Reuters - Was absenteeism a little high\on Tuesday among the guys at the office? EA Sports would like\to think it was because ""Madden NFL 2005"" came out that day,\and some fans of the football simulation are rabid enough to\take a sick day to play it.",,,EA Sports thinks 'Madden NFL 2005' may have caused high absenteeism among office workers due to its release.,EA Sports suggests the release of 'Madden NFL 2005' may have caused a spike in workplace absenteeism as fans stayed home to play.
4,Group to Propose New High-Speed Wireless Format (Reuters),"Reuters - A group of technology companies\including Texas Instruments Inc. (TXN.N), STMicroelectronics\(STM.PA) and Broadcom Corp. (BRCM.O), on Thursday said they\will propose a new wireless networking standard up to 10 times\the speed of the current generation.",,,Technology companies plan to propose a new wireless networking standard that is up to 10 times faster than the current generation.,Tech companies including Texas Instruments and Broadcom are proposing a new wireless standard ten times faster than current speeds.
4,AOL to Sell Cheap PCs to Minorities and Seniors (Reuters),Reuters - America Online on Thursday said it\plans to sell a low-priced PC targeting low-income and minority\households who agree to sign up for a year of dialup Internet\service.,,,America Online plans to sell low-priced PCs targeting low-income and minority households who agree to sign up for a year of dialup internet service.,AOL is offering a low-cost PC to low-income households who commit to a year of dial-up internet service.
4,Companies Approve New High-Capacity Disc Format (Reuters),"Reuters - A group of consumer electronics\makers said on Wednesday they approved the format for a new\generation of discs that can store five times the data of DVDs\at the same cost -- enough to put a full season of ""The\Sopranos"" on one disc.",,,Consumer electronics manufacturers have approved a new disc format that can store five times the data of DVDs at the same cost.,Electronics manufacturers approved a new disc format that holds five times more data than DVDs at the same price.
4,Missing June Deals Slow to Return for Software Cos. (Reuters),Reuters - The mystery of what went wrong for the\software industry in late June when sales stalled at more than\20 brand-name companies is not even close to being solved\although the third quarter is nearly halfway over.,,,The mystery of why software sales stalled at 20 brand-name companies in late June remains unsolved.,Industry experts remain puzzled by the widespread software sales slump that occurred in late June.
4,Hacker Cracks Apple's Streaming Technology (AP),AP - The Norwegian hacker famed for developing DVD encryption-cracking software has apparently struck again  #151; this time breaking the locks on Apple Computer Inc.'s wireless music streaming technology.,,,A Norwegian hacker has broken the locks on Apple Computer's wireless music streaming technology.,The Norwegian hacker who cracked DVD encryption has now bypassed Apple's wireless music streaming locks.
4,European Download Services Go Mobile (Reuters),Reuters - The ability to download complete\tracks directly over cell-phone networks to mobile phones is\becoming a reality in Europe.,,,It's becoming possible to download complete tracks directly over cell-phone networks to mobile phones in Europe.,European mobile users are beginning to download full music tracks directly to their cell phones.
4,Open Source Apps Developer SugarCRM Releases Sugar.Sales 1.1 (TechWeb),"TechWeb - News - August 13, 2004",,,"TechWeb - News from August 13, 2004","TechWeb news summary for August 13, 2004."
4,Oracle Sales Data Seen Being Released (Reuters),"Reuters - Oracle Corp. sales documents\detailing highly confidential information, such as which\companies receive discounts on Oracle's business software\products and the size of the discounts, are likely to be made\public, a federal judge said on Friday.",,,Oracle Corp. sales documents detailing confidential information may be made public due to a federal judge's decision.,A federal judge ruled that Oracle documents revealing confidential customer discounts will likely be made public.
4,Sun's Looking Glass Provides 3D View (PC World),PC World - Developers get early code for new operating system 'skin' still being crafted.,,,Developers are getting early code for a new operating system 'skin' still in development.,PC World reports that developers have received early code for a new operating system interface.
4,Apple to open second Japanese retail store this month (MacCentral),"MacCentral - Apple Computer Inc. will open its second Japanese retail store later this month in the western Japanese city of Osaka, it said Thursday.",,,Apple Computer Inc. will open its second Japanese retail store in Osaka later this month.,Apple announced it will open its second Japanese retail store in Osaka later this month.
